rg_id,rg_title,imdb_id,primary_type
d39518fa-8482-3d2e-8a1b-59855812623d,Beavis and Butt‐Head Do America: Original Motion Picture Soundtrack,tt0115641,Album
34261bc6-b425-3623-9242-6be4c7499783,Babylon 5: Objects at Rest,tt0517675,Album
e8f497d8-2a2c-3505-83eb-48ef8fcbd54c,Trouble Man,tt0069414,Album
98514993-0960-3b64-b55b-d8ec447fd0fa,Captive: Music From the Film,tt0090795,Album
60a6ff06-487b-30c4-bf9d-10548c40e6ba,The Last Days of Disco,tt0120728,Album
f40c55a2-e56c-3f57-9fd7-92050e5a8a39,Life: Music Inspired by the Motion Picture,tt0123964,Album
fdc4684c-102b-34cf-870e-cf3e784961ba,O Clone: Internacional,tt0289800,Album
0447ae42-6840-3aaf-9e77-cf91c860e0bb,Istanbul Kanatlarimin Altinda,tt0272142,Album
e4c4ba5d-e0f3-3a11-8024-f78b20ff2ade,Pump Up the Volume: Music From the Original Motion Picture Soundtrack,tt0100436,Album
ae09c9de-4e41-391b-bd18-c343b1af48c8,Hedwig and the Angry Inch,tt0248845,Album
f0a97498-3e37-39ba-b88c-fb951f806229,One 2 Ka 4,tt0227194,Album
2a5ecb95-4c06-3386-a141-e60343ab5d26,Chariots of Fire,tt0082158,Album
3dfe3d7e-2af2-3a69-b600-790f3aae4b25,Serendipity,tt0240890,Album
4380a419-2681-3464-96a7-eef4eab95a84,Dracula 2000: Music From the Dimension Motion Picture,tt0219653,Album
eec85ad7-165e-3eb4-899a-57aaebb766e6,A Map of the World,tt0160513,Album
f60b509f-ab71-31ee-8dc1-2f88df9097ab,I’m Breathless,tt0099422,Album
e9391f11-fb53-3f46-94b9-20c95a08098e,About a Boy,tt0276751,Album
14f587e4-c680-349b-892e-5df952473a27,The 13th Warrior: Original Motion Picture Soundtrack,tt0120657,Album
988784a7-f0e7-36c5-aa5c-20e696fe470d,Star Wars: Shadows of the Empire,tt0158208,Album
32530b76-bb42-3b3f-80e7-35f1c5de6f0a,Mulholland Drive,tt0166924,Album
